url,label,using_ip,long_url,having_@_symbol,redirection_//_symbol,has_dash_-_symbol,numof_sub_domains,non_std_port,abnormal_url,google_index,count.,count-www,count@,count_dir,count_embed_domian,count%,count?,count-,count=,url_length,hostname_length,sus_url,has_http,has_special_char,misspell_brand_name,url_entropy,count_digits,count_parameters,count_fragments,is_online,days_since_domain_registered,days_until_domain_expires,num_html_chars,num_headings,num_images,num_links,num_script_chars,num_special_chars,script_to_special_char_ratio,script_to_body_ratio,count_redirects,count_external_links,count_iframes,has_privacy_policy,domain_registered_long_ago,domain_expiration_far_future,favicon_external,length_of_path,num_of_delimiters,using_https,num_of_subdirectories,url_is_ip
guardian.co.uk/film/gallery/2009/mar/24/the-boat-that-rocked-world-premiere,benign,0,1,0,0,0,1,0,0,1,2,0,0,6,0,0,0,5,0,75,0,0,0,0,0,4.468083857851732,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,75,0,0,6,0
imdb.com/name/nm0217737/,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,24,0,0,0,0,0,3.772055208874201,7,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,24,0,0,3,0
barrystickets.com/hockey-tickets/canadiens-tickets.php,benign,0,1,0,0,0,1,0,0,1,2,0,0,2,0,0,0,2,0,54,0,0,0,0,0,4.0327816047617855,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,54,0,0,2,0
cmaq.net/en/node/44460,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,22,0,0,0,0,0,3.594906618243938,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,22,0,0,3,0
lescurecompany.com/cathedral-of-christ-the-light/,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,4,0,49,0,0,0,0,0,4.173297793439888,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,49,0,0,2,0
friendseat.com/restaurants/Lansing/Kewpee,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,41,0,0,0,0,0,3.997199870207905,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,41,0,0,3,0
pornbb.org/real-amateur-wives-interracial-cuckold-gangbangs-t3613520-1260.html,benign,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,7,0,78,0,0,0,0,0,4.595244604480361,11,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,78,0,0,1,0
tvtrip.com/pnh5jtd-hotels-near-pointe-du-moulin-%C3%A0-vent,benign,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2,0,7,0,59,0,0,0,0,0,4.38636042330262,3,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,59,0,0,1,0
tourisme-montreal.org/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,22,0,0,0,0,0,3.7544418457133446,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,22,0,0,1,0
amazon.com/All-This-Tea-David-Hoffman/dp/B001ORQSMC,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,4,0,51,0,0,0,0,0,4.733713518816062,3,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,51,0,0,3,0
broadbandreports.com/forum/r26481366-Television-Super-ecran-sur-demande-en-HD,benign,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,7,0,77,0,0,0,0,0,4.501977249630866,8,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,77,0,0,2,0
dexknows.com/business_profiles/pac_west_telecomm_inc-l802546567,benign,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,63,0,0,0,0,0,4.611579923225189,9,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,63,4,0,2,0
en.wikipedia.org/wiki/Limited_Slip_Differential,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,47,0,0,0,0,0,4.047590523522096,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,47,2,0,2,0
briancampbell.blogspot.com/2009/03/sense-and-sustainability-u-of-m.html,benign,0,1,0,0,0,1,0,0,1,3,0,0,3,0,0,0,5,0,71,0,0,0,0,0,4.467238501104666,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,71,0,0,3,0
mp3bear.com/?q=land+of+talk,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,27,0,0,0,0,0,4.2824842613426,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,12,0,0,1,0
metrolyrics.com/big-nose-lyrics-saafir.html,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,3,0,43,0,0,0,0,0,4.08267318468309,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,43,0,0,1,0
freepages.genealogy.rootsweb.ancestry.com/~wjhonson/Royals/GED2WEB/people/p000001k.htm,benign,0,1,0,0,0,1,0,0,1,5,0,0,5,0,0,0,0,0,86,0,1,0,0,0,4.603679587009709,7,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,86,0,0,5,0
en.wikipedia.org/wiki/Tele-ressources,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,1,0,37,0,0,0,0,0,3.9492049741940662,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,37,0,0,2,0
tv.com/people/erin-moran/,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,1,0,25,0,0,0,0,0,3.753269689515108,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,25,0,0,3,0
notstarring.com/actors/churchill-marguerite,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,43,0,0,0,0,0,3.94313830096216,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,43,0,0,2,0
japaneseguesthouses.com/maps/okinawa.htm,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,40,0,0,0,0,0,3.953701696057347,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,40,0,0,2,0
alumniclass.com/high-school-alumni-classmates/new-jersey/middlesex/4736,benign,0,1,0,0,0,1,0,0,1,1,0,0,4,0,0,0,4,0,71,0,0,0,0,0,4.339838760856543,4,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,71,0,0,4,0
alamedainfo.com/jack_london_square.htm,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,38,0,0,0,0,0,4.165837632423487,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,38,2,0,1,0
blogs.sun-sentinel.com/sports_football_dolphins/2011/10/miami-dolphins-coach-tony-sparano-the-season-will-turn-around.html,benign,0,1,0,0,0,1,0,0,1,3,0,0,4,0,0,0,10,0,122,0,0,0,0,0,4.411036191934663,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,122,2,0,4,0
antiqbook.com/books/asearch.phtml?author=Claude%20Bernard,benign,0,1,0,0,0,1,0,0,1,2,0,0,2,0,1,1,0,1,57,0,0,0,0,0,4.512114356004314,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,33,0,0,2,0
facebook.com/bianca.steinberg,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,29,0,0,0,0,0,3.8312762533752505,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,29,0,0,1,0
lake-elsinore.org/index.aspx?page=831,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,37,0,0,0,0,0,4.226628285180295,3,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,28,0,0,1,0
winnipegfreepress.com/sports/breakingnews/maciocias-carabins-look-for-second-upset-of-the-year-over-no-1-ranked--laval-133712608.html,benign,0,1,0,0,0,1,0,0,1,2,0,0,3,0,0,0,15,0,133,0,1,0,0,0,4.5340492180562375,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,133,0,0,3,0
sanctuary.wikia.com/wiki/Peter_Wingfield,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,40,0,0,0,0,0,4.296439344671015,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,40,1,0,2,0
superman-can-fly.blogspot.com/,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,2,0,30,0,0,0,0,0,4.148394345536403,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,30,0,0,1,0
coasttocoasttickets.com/college_football/missouritigers_tickets.shtml,benign,0,1,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,69,0,0,0,0,0,3.890151233867475,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,69,2,0,2,0
youtube.com/watch?v=KUjwF4-Fzq0,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,31,0,0,0,0,0,4.567099536193328,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,17,0,0,1,0
spoke.com/info/pZQpTB7/WestgateDave,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,35,0,0,0,0,0,4.321721231045239,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,35,0,0,3,0
infortravel.com/infostudy/,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,26,0,0,0,0,0,4.056020968057881,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,26,0,0,2,0
stithvalley.com/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,16,0,0,0,0,0,3.75,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,16,0,0,1,0
squidoo.com/megabrands-kids-toys,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,32,0,0,0,0,0,4.101409765557392,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,32,0,0,1,0
en.wikipedia.org/wiki/Gottfried_Fuchs,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,37,0,0,0,0,0,4.229327351940022,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,37,1,0,2,0
appraiserusa.com/county/Search-Indiana-Starke.htm,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,2,0,49,0,0,0,0,0,4.213260161195676,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,49,0,0,2,0
newyorkcityvisitorsnetwork.com/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,31,0,0,0,0,0,3.7843684875968617,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,31,0,0,1,0
closinglogos.com/page/Disney-ABC+Domestic+Television,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,52,0,0,0,0,0,4.212781132827798,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,52,0,0,2,0
youtube.com/watch?v=gRgB7yyf9tM,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,31,0,0,0,0,0,4.389364858634393,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,17,0,0,1,0
icelebz.com/Ra-list.html,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,24,0,0,0,0,0,3.886842188131012,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,24,0,0,1,0
reelz.com/person/266270/yvette-vickers/,benign,0,0,0,0,0,1,0,0,1,1,0,0,4,0,0,0,1,0,39,0,0,0,0,0,4.201692923824033,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,39,0,0,4,0
britannica.com/EBchecked/topic/214137/Fort-Necessity-National-Battlefield,benign,0,1,0,0,0,1,0,0,1,1,0,0,4,0,0,0,3,0,73,0,0,0,0,0,4.5452339773963,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,73,0,0,4,0
houghton.edu/news/archive.php,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,29,0,0,0,0,0,4.004364184708143,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,29,0,0,2,0
youtube.com/watch?v=IYJcaATKyK0,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,31,0,0,0,0,0,4.413716068381602,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,17,0,0,1,0
houstonpress.com/2001-01-04/music/tangled-up-in-blues/,benign,0,1,0,0,0,1,0,0,1,1,0,0,4,0,0,0,5,0,54,0,0,0,0,0,4.357036697434506,8,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,54,0,0,4,0
hotpads.com/apartments/2801-Wells-Branch-Parkway-Austin-TX-78728--5fhnnfr7t6qgt,benign,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,8,0,79,0,0,0,0,0,4.849428178688735,12,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,79,0,0,2,0
amazon.com/Nebraska-Cornhuskers-Diecast-Collectible-Great/lm/R2J0F4VKSA1K0Y,benign,0,1,0,0,0,1,0,0,1,1,0,0,3,0,0,0,4,0,75,0,0,0,0,0,4.841630690265114,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,75,0,0,3,0
linksdesantafe.com/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,19,0,0,0,0,0,3.826874881864637,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,19,0,0,1,0
profiles.google.com/105896135888270836875,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,41,0,0,0,0,0,4.229145602020758,21,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,41,0,0,1,0
academywrestling.com/wrestlers_videos.asp?wid=196&wl=-1,benign,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,2,55,0,0,0,1,0,4.526928468803004,4,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,41,1,0,1,0
flickr.com/photos/29455386@N04/2758409849/,benign,0,0,1,0,0,1,0,0,1,1,0,1,4,0,0,0,0,0,42,0,0,0,0,0,4.415661470191765,20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,42,0,0,4,0
linkedin.com/directory/people/begbie.html,benign,0,0,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,41,0,0,0,0,0,3.9971998702079055,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,41,0,0,3,0
supermarkethq.com/browse/everything,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,35,0,0,0,0,0,4.226150431961056,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,35,0,0,2,0
gayinterestfilms.blogspot.com/2010/01/transamerica-2005-united-states.html,benign,0,1,0,0,0,1,0,0,1,3,0,0,3,0,0,0,3,0,74,0,0,0,0,0,4.430765406942712,10,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,74,0,0,3,0
cmt.com/artists/az/tea_party/lyrics.jhtml,benign,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,0,0,41,0,0,0,0,0,3.930007492106357,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,41,1,0,4,0
facebook.com/pages/Trippes-Western-Auto/115076451427,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,2,0,52,0,0,0,0,0,4.64987836269704,12,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,52,0,0,3,0
sundancechannel.com/sunfiltered/2009/12/from-the-nothings-sacred-department-shocker-gloves/,benign,0,1,0,0,0,1,0,0,1,1,0,0,5,0,0,0,6,0,91,0,0,0,0,0,4.400137405758715,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,91,0,0,5,0
nswfirebrigadesband.org/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,24,0,0,0,0,0,3.720175521464345,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,24,0,0,1,0
naia.cstv.com/sports/m-baskbl-div2/spec-rel/102609aac.html,benign,0,1,0,0,0,1,0,0,1,3,0,0,4,0,0,0,3,0,58,0,0,0,0,0,4.461537573408762,7,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,58,0,0,4,0
boards.nbc.com/nbc/index.php?showtopic=813164,benign,0,0,0,0,0,1,0,0,1,3,0,0,2,0,0,1,0,1,45,0,0,0,0,0,4.446974207248477,6,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,28,0,0,2,0
tsn.ca/chl/story/?id=371579,benign,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,1,0,1,27,0,0,0,0,0,4.282484261342601,6,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,17,0,0,3,0
en.wikipedia.org/wiki/Yahoo!_Search_Marketing,benign,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,45,0,0,0,0,0,4.163532262755956,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,45,2,0,2,0
ziplocal.ca/companies/26159-CLSC-Verdun-Cte-Saint-Paul,benign,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,5,0,54,0,0,0,0,0,4.574357762129129,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,0,0,-1,54,0,0,2,0
daily-trend-blog.blogspot.com/2008/01/thomas-hart-benton.html,benign,0,1,0,0,0,1,0,0,1,3,0,0,3,0,0,0,4,0,61,0,0,0,0,0,4.372398812547122,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,61,0,0,3,0
peterhansen.blogspot.com/,benign,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,25,0,0,0,0,0,3.863465189601646,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,25,0,0,1,0
twitter.com/golateef,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,20,0,0,0,0,0,3.5841837197791886,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,20,0,0,1,0
politwitter.ca/user/GerrySklavounos,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,35,0,0,0,0,0,4.150292659616667,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,35,0,0,2,0
nosorigines.qc.ca/genealogielistfirstname.aspx?ancestor=39&Family=Fortin_98&lng=en,benign,0,1,0,0,0,1,0,0,1,3,0,0,1,0,0,1,0,3,82,0,0,0,1,0,4.403932225369454,4,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,46,1,0,1,0
flixster.com/actor/venus-terzo-photos,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,0,37,0,0,0,0,0,4.131769501279567,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,37,0,0,2,0
wvencyclopedia.org/articles/211,benign,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,31,0,0,0,0,0,4.1958164715376185,3,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,31,0,0,2,0
duckduckgo.com/1/c/Fellows_of_the_Royal_Geographical_Society,benign,0,1,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,60,0,0,0,0,0,4.435546013316953,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,0,-1,60,5,0,3,0
thefreedictionary.com/film+director,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,35,0,1,0,0,0,3.8645783739023822,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,35,0,0,1,0
kansas-city-airport.com/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,24,0,0,0,0,0,3.8035088547976783,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,24,0,0,1,0
driverupdate.net/library/driver_list.php?type=networkcard&vendor_id=278&vendor_name=Eicon+Networks+Corporation&device_id=29372&device_name=Eicon+Diva+2.02+S%2FT+(PCI),benign,0,1,0,0,0,1,0,0,1,3,0,0,2,0,1,1,0,5,166,0,1,0,1,0,4.910135762520263,12,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,40,5,0,2,0
modernminority.com/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,19,0,0,0,0,0,3.43162356584743,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,1,1,-1,19,0,0,1,0
martiniquecookers.com/,benign,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,22,0,0,0,0,0,3.788754913993503,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.0,-1.0,0,0,0,False,-1,-1,-1,22,0,0,1,0
